No,Symbol,Company Name,Company Name in Thai,Industry group,"Year 2023
(192 Companies)","Year 2022
(166 Companies)","Year 2021
(143 Companies)","Year 2020
(120 Companies)","Year 2019
(94 Companies)","Year 2018
(76 Companies)","Year 2017
(62 Companies)","Year 2016
(49 Companies)","Year 2015
(50 Companies)"
107,MSC,METRO SYSTEMS CORPORATION PCL,?????? ??????????????????????????  ?????? (?????),Technology,A,Yes,Yes,Yes,,,,,
108,MTC,MUANGTHAI CAPITAL PCL,?????? ???????? ???????? ?????? (?????),Financials,A,Yes,Yes,Yes,Yes,,,,
109,NDR,N.D. RUBBER PCL,?????? ????.??.???????? ?????? (?????),Industrials,A,,,,,,,,
110,NER,NORTH EAST RUBBER PCL,?????? ???????? ???????? ?????? (?????),Agro & Food Industry,A,Yes,,,,,,,
111,NOBLE,NOBLE DEVELOPMENT PCL,?????? ?????? ????????????? ?????? (?????),Property & Construction,AA,Yes,,,,,,,
112,NRF,NR INSTANT PRODUCE PCL,?????? ???????? ????????? ???????? ?????? (?????),Agro & Food Industry,A,Yes,Yes,,,,,,
113,NVD,NIRVANA DEVELOPMENT PCL,?????? ??????? ?????????????? ?????? (?????),Property & Construction,AA,Yes,Yes,,,,,,
114,NYT,NAMYONG TERMINAL PCL,?????? ????? ?????????? ?????? (?????),Services,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
115,OR,PTT OIL AND RETAIL BUSINESS PCL,?????? ???. ??????????????????? ?????? (?????),Resources,AAA,Yes,,,,,,,
116,ORI,ORIGIN PROPERTY PCL,?????? ???????? ????????????? ?????? (?????),Property & Construction,AA,Yes,Yes,,,,,,
117,OSP,OSOTSPA PCL,?????? ??????? ?????? (?????),Agro & Food Industry,AA,Yes,Yes,,,,,,
118,PEER,PEER FOR YOU PCL,?????? ?????? ???? ?? ?????? (?????),Services,A,Yes,Yes,Yes,,,,,
119,PAP,PACIFIC PIPE PCL,?????? ??????????? ?????? (?????),Industrials,A,Yes,,,,,,,
120,PB,PRESIDENT BAKERY PCL,?????? ?????????? ???????? ?????? (?????),Agro & Food Industry,AA,,,,,,,,
121,PCSGH,P.C.S. MACHINE GROUP HOLDING PCL,?????? ??.??.???.????? ???????????? ?????? (?????),Industrials,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
122,PG,PEOPLE'S GARMENT PCL,?????? ??????????? ?????? (?????),Consumer Products,,,,,,,,,Yes
123,PHOL,PHOL DHANYA PCL,?????? ??????? ?????? (?????),Services,A,,,Yes,Yes,,,,
124,PJW,PANJAWATTANA PLASTIC PCL,?????? ???????????????? ?????? (?????),Industrials,A,Yes,,,,,,,
125,PLANB,PLAN B MEDIA PCL,?????? ???? ?? ?????? ?????? (?????),Services,AA,Yes,Yes,,,,,,
126,PM,PREMIER MARKETING PCL,?????? ????????? ???????????? ?????? (?????),Agro & Food Industry,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
127,PPP,PREMIER PRODUCTS PCL,?????? ????????? ???????? ?????? (?????),Property & Construction,A,,Yes,Yes,Yes,Yes,,Yes,Yes
128,PPS,PROJECT PLANNING SERVICE PCL,?????? ?????? ???????? ???????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
129,PR9,PRARAM 9 HOSPITAL PCL,?????? ??????????????????? ?????? (?????),Services,AAA,Yes,Yes,,,,,,
130,PRANDA,PRANDA JEWELRY PCL,?????? ??????? ????????? ?????? (?????),Consumer Products,,,,,,,Yes,,Yes
131,PSH,PRUKSA HOLDING PCL,?????? ????? ??????? ?????? (?????),Property & Construction,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
132,PSL,PRECIOUS SHIPPING PCL,?????? ???????? ??????? ?????? (?????),Services,A,Yes,,,,,,,Yes
133,PT,PREMIER TECHNOLOGY PCL,?????? ????????? ????????? ?????? (?????),Technology,,,Yes,Yes,Yes,Yes,,,
134,PTG,PTG ENERGY PCL,?????? ?????? ????????? ?????? (?????),Resources,,,Yes,Yes,Yes,Yes,,,
135,PTT,PTT PCL,?????? ???. ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
136,PTTEP,PTT EXPLORATION AND PRODUCTION PCL,?????? ???. ??????????????????????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
137,PTTGC,PTT GLOBAL CHEMICAL PCL,?????? ?????? ?????? ??????? ?????? (?????),Industrials,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
138,QTC,QTC ENERGY PCL,?????? ??????? ??????????? ?????? (?????),Resources,A,,,,,,,,Yes
139,RATCH,RATCH GROUP PCL,?????? ??? ????? ?????? (?????),Resources,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
140,RBF,R&B FOOD SUPPLY PCL,?????? ???? ????? ?? ???? ??????? ?????? (?????),Agro & Food Industry,BBB,,,,,,,,
141,RS,RS PCL,?????? ??????? ?????? (?????),Services,AA,Yes,Yes,,,,,,
142,S,SINGHA ESTATE PCL,?????? ????? ?????? ?????? (?????),Property & Construction,A,Yes,Yes,Yes,Yes,,,,
143,S&J,S & J INTERNATIONAL ENTERPRISES PCL,?????? ??? ????? ?? ????????????????? ????????????? ?????? (?????),Consumer Products,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
144,SABINA,SABINA PCL,?????? ??????? ?????? (?????),Consumer Products,AAA,Yes,Yes,,,,,,
145,SAK,SAKSIAM LEASING PCL,?????? ????????????????? ?????? (?????),Financials,A,Yes,Yes,,,,,,
146,SAPPE,SAPPE PCL,?????? ??????? ?????? (?????),Agro & Food Industry,BBB,Yes,,,,,,Yes,
147,SAT,SOMBOON ADVANCE TECHNOLOGY PCL,?????? ??????? ????????? ????????? ?????? (?????),Industrials,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
148,SAWAD,SRISAWAD CORPORATION PCL,?????? ?????????? ????????????  ?????? (?????),Financials,BBB,Yes,,,,,,,
149,SC,SC ASSET CORPORATION PCL,?????? ????? ?????? ????????????  ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
150,SCB,SCB X PCL,?????? ??????? ????? ?????? (?????),Financials,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
151,SCC,THE SIAM CEMENT PCL,?????? ????????????? ??????(?????),Property & Construction,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
152,SCCC,SIAM CITY CEMENT PCL,?????? ????????????????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,Yes,,,,
153,SCG,SAHACOGEN (CHONBURI) PCL,?????? ??????? (??????) ?????? (?????),Resources,A,Yes,Yes,Yes,Yes,Yes,,,Yes
154,SCGP,SCG PACKAGING PCL,?????? ??????? ?????????? ?????? (?????),Industrials,AAA,Yes,Yes,,,,,,
155,SELIC,SELIC CORP PCL,?????? ????? ????? ?????? (?????),Industrials,A,Yes,Yes,,,,,,
156,SGP,SIAMGAS AND PETROCHEMICALS PCL,?????? ???????? ????? ?????????????? ?????? (?????),Resources,AA,,,,,,,,
157,SHR,S HOTELS AND RESORTS PCL,?????? ??? ????? ????? ??????? ?????? (?????),Services,A,Yes,,,,,,,
158,SICT,SILICON CRAFT TECHNOLOGY PCL,?????? ??????? ?????? ????????? ?????? (?????),Technology,A,Yes,,,,,,,
159,SIRI,SANSIRI PCL,?????? ??????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,,,,,
160,SITHAI,SRITHAI SUPERWARE  PCL,?????? ?????????????????? ?????? (?????),Industrials,A,,,,,,,,
161,SJWD,SCGJWD LOGISTICS PCL,?????? ??????? ?????????????? ?????????? ?????? (?????),Services,AA,Yes,Yes,Yes,Yes,Yes,,,
162,SMPC,SAHAMITR PRESSURE CONTAINER PCL,?????? ????????????? ?????? (?????),Industrials,AA,,,,,,,,
163,SNC,SNC FORMER PCL,?????? ??? ???? ?? ????????? ?????? (?????),Industrials,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
164,SNP,S & P SYNDICATE PCL,?????? ??? ????? ?? ???????? ?????? (?????),Agro & Food Industry,A,Yes,Yes,,,,,,
165,SPALI,SUPALAI PCL,?????? ??????? ?????? (?????),Property & Construction,AA,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
166,SPI,SAHA PATHANA INTER-HOLDING PCL,?????? ?????????????????????? ?????? (?????),Services,A,Yes,,Yes,Yes,,,,
167,SSSC,SIAM STEEL SERVICE CENTER PCL,?????? ???????????????????? ?????? (?????),Industrials,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
168,STA,SRI TRANG AGRO-INDUSTRY PCL,?????? ????????????????????? ?????? (?????),Agro & Food Industry,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
169,STEC,SINO-THAI ENGINEERING AND CONSTRUCTION PCL,?????? ????-??? ????????????H??????????????????  ?????? (?????),Property & Construction,A,,,,,,,,
170,STGT,SRI TRANG GLOVES (THAILAND) PCL,?????? ????????????? (?????????) ?????? (?????),Consumer Products,AAA,Yes,Yes,,,,,,
171,SUTHA,GOLDEN LIME PCL,?????? ?????????? ?????? (?????),Industrials,A,,,,,,,,
172,SYNEX,SYNNEX (THAILAND) PCL,?????? ??????? (?????????) ?????? (?????),Technology,A,Yes,Yes,Yes,,Yes,,,Yes
173,SYNTEC,SYNTEC CONSTRUCTION PCL,?????? ??????? ????????????  ?????? (?????),Property & Construction,A,Yes,Yes,Yes,Yes,Yes,Yes,,
174,TASCO,TIPCO ASPHALT PCL,?????? ?????????????? ?????? (?????),Property & Construction,,,,Yes,Yes,Yes,,,
175,TCAP,THANACHART CAPITAL PCL,?????? ???????? ?????? (?????),Financials,A,,,,,,,,
176,TFG,THAIFOODS GROUP PCL,?????? ????????? ????? ?????? (?????),Agro & Food Industry,A,Yes,Yes,Yes,Yes,,,,
177,TFMAMA,THAI PRESIDENT FOODS PCL,?????? ?????????????????? ?????? (?????),Agro & Food Industry,AAA,Yes,Yes,Yes,Yes,,,,Yes
178,TGH,THAI GROUP HOLDINGS PCL,?????? ???????? ????????? ?????? (?????),Financials,A,,,,,,,,
179,THAI,THAI AIRWAYS INTERNATIONAL PCL,?????? ????????? ?????? (?????),Services,,,,,,,,,Yes
180,THANA,THANASIRI GROUP PCL,?????? ??????? ????? ?????? (?????),Property & Construction,BBB,,,,,,,,
181,THANI,RATCHTHANI LEASING PCL,?????? ?????????????? ?????? (?????),Financials,AA,Yes,Yes,,,,,,
182,THCOM,THAICOM PCL,?????? ????? ?????? (?????),Technology,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
183,THIP,THANTAWAN INDUSTRY PCL,?????? ?????????????????? ?????? (?????),Industrials,A,Yes,Yes,Yes,Yes,,,,
184,THREL,THAIRE LIFE ASSURANCE PCL,?????? ???????????????? ?????? (?????),Financials,A,Yes,Yes,,,,,,
185,TIPCO,TIPCO FOODS PCL,?????? ??????????? ?????? (?????),Agro & Food Industry,,,Yes,Yes,,,,,
186,TISCO,TISCO FINANCIAL GROUP PCL,?????? ????????????????????? ?????? (?????),Financials,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,
187,TKS,T.K.S. TECHNOLOGIES PCL,?????? ??.??.???. ????????? ?????? (?????),Services,A,Yes,,,,,,,
188,TMILL,T S FLOUR MILL PCL,?????? ?? ??? ????????? ?????? (?????),Agro & Food Industry,,,Yes,,,,,,
189,TMT,TMT STEEL PCL,?????? ???????? ???? ?????? (?????),Industrials,AA,Yes,Yes,Yes,,,,,
190,TNDT,THAI NONDESTRUCTIVE TESTING PCL,?????? ??? ???? ?? ?? ?????? (?????),Services,,Yes,,,,,,,
191,TNL,THANULUX PCL,?????? ????????? ?????? (?????),Consumer Products,,,Yes,,,,,,
192,TOA,TOA PAINT (THAILAND) PCL,?????? ?????? ?????? (?????????) ?????? (?????),Property & Construction,A,Yes,Yes,Yes,,,,,
193,TOG,THAI OPTICAL GROUP PCL,?????? ??????????? ????? ?????? (?????),Consumer Products,A,Yes,Yes,Yes,,,,,Yes
194,TOP,THAI OIL PCL,?????? ???????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
195,TPBI,TPBI PCL,?????? ???????? ?????? (?????),Industrials,AA,Yes,Yes,Yes,,,,,
196,TPCS,TPCS PCL,?????? ????????? ?????? (?????),Industrials,BBB,Yes,Yes,Yes,,,,,
197,TPIPP,TPI POLENE POWER PCL,?????? ?????? ????? ???????? ?????? (?????),Resources,AA,Yes,,,,,,,
198,TPIPL,TPI POLENE PCL,?????? ?????? ????? ?????? (?????),Property & Construction,AA,Yes,,,,,,,
199,TQM,TQM ALPHA PCL,?????? ????????? ????? ?????? (?????),Financials,BBB,Yes,Yes,,,,,,
200,TRUE,TRUE CORPORATION PCL,?????? ??? ????????????  ?????? (?????),Technology,,,,Yes,Yes,Yes,,,
201,TSC,THAI STEEL CABLE PCL,?????? ????????????? ?????? (?????),Industrials,A,Yes,Yes,Yes,Yes,Yes,Yes,,
202,TSTH,TATA STEEL (THAILAND) PCL,?????? ???? ???? (?????????) ?????? (?????),Industrials,A,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
203,TTA,THORESEN THAI AGENCIES PCL,?????? ?????????? ??????????? ?????? (?????),Services,AA,Yes,,,,,,,
204,TTB,TMBTHANACHART BANK PCL,?????????????????? ?????? (?????),Financials,AA,Yes,Yes,Yes,Yes,Yes,,,
205,TTCL,TTCL PCL,?????? ????????? ?????? (?????),Property & Construction,A,Yes,Yes,Yes,Yes,Yes,Yes,,
206,TTW,TTW PCL,?????? ??????????? ?????? (?????),Resources,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
207,TU,THAI UNION GROUP PCL,?????? ??????????? ????? ?????? (?????),Agro & Food Industry,,,,Yes,Yes,,Yes,Yes,Yes
208,TVDH,TVD HOLDINGS PCL,?????? ?????? ????????? ?????? (?????),Services,BBB,Yes,Yes,Yes,,,Yes,Yes,
209,TVO,THAI VEGETABLE OIL PCL,?????? ???????????? ?????? (?????),Agro & Food Industry,AA,Yes,Yes,Yes,Yes,Yes,,Yes,
210,TWPC,THAI WAH PCL,?????? ????? ?????? (?????),Agro & Food Industry,A,Yes,Yes,Yes,Yes,,,,
211,UAC,UAC GLOBAL PCL,?????? ?????? ?????? ?????? (?????),Industrials,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
212,UBE,UBON BIO ETHANOL PCL,?????? ???? ???? ??????? ?????? (?????),Resources,A,,,,,,,,
213,UKEM,UNION PETROCHEMICAL PCL,?????? ???????? ???????????? ?????? (?????),Industrials,,Yes,,,,,,,
214,UPF,UNION PIONEER PCL,?????? ?????????????????? ?????? (?????),Consumer Products,BBB,,,,,,,,
215,VGI,VGI PCL,?????? ?????? ?????? (?????),Services,AA,Yes,Yes,,,,,,
216,WACOAL,THAI WACOAL PCL,?????? ???????? ?????? (?????),Consumer Products,A,,,Yes,,,,,
217,WHA,WHA CORPORATION PCL,?????? ???????????? ????????????  ?????? (?????),Property & Construction,AAA,Yes,Yes,Yes,,,,,
218,WHAUP,WHA UTILITIES AND POWER PCL,?????? ???????????? ??????????? ????? ???????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,,,,,
219,WICE,WICE LOGISTICS PCL,?????? ???? ?????????? ?????? (?????),Services,AA,,,,,,,,
220,ZEN,ZEN CORPORATION GROUP PCL,?????? ???? ???????????? ????? ?????? (?????),Agro & Food Industry,AA,Yes,Yes,,,,,,
